ALGORITHM,PARAM,TIMEEXEC,NCLUSTERS,NCLUSTERS_PREDEF,FILE_OUTPUT,Silhouette_euclidean
Agglomerative clustering,n_clusters=4  affinity='euclidean',0:00:01.601179,4,YES,DIR: Agglomerative clustering,0.16695543836240956
BIRCH,n_clusters=5,0:00:01.792188,5,YES,DIR: Birch,0.1659564169905997
Agglomerative clustering,n_clusters=5  affinity='euclidean',0:00:01.953288,5,YES,DIR: Agglomerative clustering,0.16236978026046214
DBSCAN,eps=8.0001 min_samples=10,0:00:32.351210,101,NO,DIR: DBSCAN__min_samples10,-0.15383590128265984
DBSCAN,eps=9.5001 min_samples=100,0:00:12.243777,2,NO,DIR: DBSCAN__min_samples100,0.15305150168049636
Agglomerative clustering,n_clusters=3  affinity='euclidean',0:00:01.587556,3,YES,DIR: Agglomerative clustering,0.14100012373098997
Mean-shift,iBandwidth_ 3  bandwidth: 15.09394223731781 bin_seeding=True,0:01:01.923479,7,NO,DIR: MEAN_SHIFT,0.13694638716074925
Mean-shift,iBandwidth_ 1  bandwidth: 10.944428117317827 bin_seeding=True,0:00:21.207814,35,NO,DIR: MEAN_SHIFT,0.1342120296092763
Mean-shift,iBandwidth_ 4  bandwidth: 16.28873857299355 bin_seeding=True,0:01:17.613193,5,NO,DIR: MEAN_SHIFT,0.12218865874534396
DBSCAN,eps=8.7501 min_samples=100,0:00:08.061636,3,NO,DIR: DBSCAN__min_samples100,-0.12059810928556627
DBSCAN,eps=9.2501 min_samples=100,0:00:10.851275,2,NO,DIR: DBSCAN__min_samples100,0.11833678980431572
DBSCAN,eps=5.5001 min_samples=10,0:00:15.666607,291,NO,DIR: DBSCAN__min_samples10,-0.11506649792708523
Gaussian mixtures,n_components=5,0:00:00.927767,5,YES,DIR: GaussianMixture,0.09861615467929796
DBSCAN,eps=7.7501 min_samples=10,0:00:30.747767,139,NO,DIR: DBSCAN__min_samples10,-0.0937109076499352
DBSCAN,eps=9.0001 min_samples=100,0:00:09.449804,2,NO,DIR: DBSCAN__min_samples100,0.0722431818637246
DBSCAN,eps=5.7501 min_samples=10,0:00:17.255150,288,NO,DIR: DBSCAN__min_samples10,-0.07160608893514601
DBSCAN,eps=6.5001 min_samples=10,0:00:21.938681,296,NO,DIR: DBSCAN__min_samples10,0.056728929003821
DBSCAN,eps=6.7501 min_samples=10,0:00:23.522961,284,NO,DIR: DBSCAN__min_samples10,0.04813125348487143
Gaussian mixtures,n_components=6,0:00:01.234700,6,YES,DIR: GaussianMixture,0.04499386143003224
DBSCAN,eps=6.2501 min_samples=10,0:00:20.393714,296,NO,DIR: DBSCAN__min_samples10,0.028366597376629256
DBSCAN,eps=6.0001 min_samples=10,0:00:18.819504,306,NO,DIR: DBSCAN__min_samples10,-0.027021371993544187
DBSCAN,eps=7.0001 min_samples=10,0:00:25.080149,254,NO,DIR: DBSCAN__min_samples10,0.02141748587750798
DBSCAN,eps=7.5001 min_samples=10,0:00:29.027323,179,NO,DIR: DBSCAN__min_samples10,-0.015222939354704673
DBSCAN,eps=7.2501 min_samples=10,0:00:26.982154,226,NO,DIR: DBSCAN__min_samples10,0.008422401286658122
DBSCAN,eps=3.2500999999999998 min_samples=10,0:00:00.919484,2,NO,DIR: DBSCAN__min_samples10,-0.0010617552979050467
Affinity propagation,damping_0.5__affinity_euclidean,0:01:32.047312,157,NO,DIR: Affinity Propag,0.3650681693337108
Affinity propagation,damping_0.55__affinity_euclidean,0:01:02.853146,159,NO,DIR: Affinity Propag,0.36765823955237853
Affinity propagation,damping_0.6000000000000001__affinity_euclidean,0:01:01.909878,157,NO,DIR: Affinity Propag,0.37078362678411886
Affinity propagation,damping_0.6500000000000001__affinity_euclidean,0:00:55.872370,157,NO,DIR: Affinity Propag,0.3674898400836267
Affinity propagation,damping_0.7000000000000002__affinity_euclidean,0:00:55.735893,157,NO,DIR: Affinity Propag,0.37019774093222185
Affinity propagation,damping_0.7500000000000002__affinity_euclidean,0:00:50.247822,158,NO,DIR: Affinity Propag,0.3711828946820623
Affinity propagation,damping_0.8000000000000003__affinity_euclidean,0:00:45.199057,158,NO,DIR: Affinity Propag,0.3713870084638366
Affinity propagation,damping_0.8500000000000003__affinity_euclidean,0:00:53.531550,158,NO,DIR: Affinity Propag,0.3713870084638366
Affinity propagation,damping_0.9000000000000004__affinity_euclidean,0:01:13.689308,158,NO,DIR: Affinity Propag,0.3713870084638366
Affinity propagation,damping_0.9500000000000004__affinity_euclidean,0:01:45.006592,158,NO,DIR: Affinity Propag,0.3706297300727376
DBSCAN,eps=6.5001 min_samples=50,0:00:02.827879,2,NO,DIR: DBSCAN__min_samples50,-0.2532859570714487
DBSCAN,eps=6.7501 min_samples=50,0:00:04.512037,6,NO,DIR: DBSCAN__min_samples50,-0.40056764918738336
DBSCAN,eps=7.0001 min_samples=50,0:00:06.180071,9,NO,DIR: DBSCAN__min_samples50,-0.36842805811871576
DBSCAN,eps=7.2501 min_samples=50,0:00:07.946214,11,NO,DIR: DBSCAN__min_samples50,-0.3868007655333396
DBSCAN,eps=7.5001 min_samples=50,0:00:09.807789,9,NO,DIR: DBSCAN__min_samples50,-0.30113689546926986
DBSCAN,eps=7.7501 min_samples=50,0:00:11.374646,5,NO,DIR: DBSCAN__min_samples50,-0.1650213588145889
DBSCAN,eps=8.0001 min_samples=50,0:00:12.730972,2,NO,DIR: DBSCAN__min_samples50,0.14223359675903308
DBSCAN,eps=8.2501 min_samples=50,0:00:14.143981,2,NO,DIR: DBSCAN__min_samples50,0.17486578259713825
DBSCAN,eps=8.5001 min_samples=50,0:00:15.561686,2,NO,DIR: DBSCAN__min_samples50,0.20259411554723278
DBSCAN,eps=8.7501 min_samples=50,0:00:16.994874,2,NO,DIR: DBSCAN__min_samples50,0.22005495471311232
